package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:02:48.400000000,26,1,R,C,1.0,2.0,1015.0,1496.0,280.0,441.0,183.0,0,False,False,0,False,False
0 days 00:02:48.600000000,26,1,R,C,1.0,2.0,1009.0,1490.0,280.0,467.0,172.0,0,False,False,0,False,False
0 days 00:02:48.800000000,26,1,R,C,1.0,2.0,1006.0,1487.0,279.0,457.0,179.0,0,False,False,0,False,False
0 days 00:02:49.000000000,26,1,R,C,1.0,2.0,1027.0,1508.0,281.0,490.0,179.0,0,False,False,0,False,False
0 days 00:02:49.200000000,26,1,R,C,1.0,2.0,987.0,1468.0,279.0,402.0,174.0,0,False,False,0,False,False
0 days 00:02:49.400000000,26,1,R,C,1.0,2.0,937.0,1418.0,276.0,430.0,174.0,0,False,False,0,False,False
0 days 00:02:49.600000000,26,1,R,C,1.0,2.0,947.0,1428.0,276.0,415.0,178.0,0,False,False,0,False,False
0 days 00:02:49.800000000,26,1,R,C,1.0,2.0,937.0,1418.0,276.0,419.0,182.0,0,False,False,0,False,False
0 days 00:02:50.000000000,26,1,R,C,1.0,2.0,937.0,1418.0,276.0,424.0,185.0,0,False,False,0,False,False
0 days 00:02:50.200000000,26,1,R,C,1.0,2.0,933.0,1414.0,275.0,420.0,186.0,0,False,False,0,False,False
0 days 00:02:50.400000000,26,1,R,C,1.0,2.0,937.0,1418.0,276.0,419.0,181.0,0,False,False,0,False,False
0 days 00:02:50.600000000,26,1,R,C,1.0,2.0,953.0,1434.0,277.0,430.0,186.0,0,False,False,0,False,False
0 days 00:02:50.800000000,26,1,R,C,1.0,2.0,975.0,1456.0,278.0,450.0,185.0,0,False,False,0,False,False
0 days 00:02:51.000000000,26,1,R,C,1.0,2.0,969.0,1450.0,278.0,424.0,175.0,0,False,False,0,False,False
0 days 00:02:51.200000000,26,1,R,C,1.0,2.0,942.0,1423.0,277.0,407.0,184.0,0,False,False,0,False,False
0 days 00:02:51.400000000,26,1,R,C,1.0,2.0,965.0,1446.0,278.0,449.0,185.0,0,False,False,0,False,False
0 days 00:02:51.600000000,26,1,R,C,1.0,2.0,1017.0,1498.0,281.0,470.0,182.0,0,False,False,0,False,False
0 days 00:02:51.800000000,26,1,R,C,1.0,2.0,998.0,1479.0,280.0,425.0,182.0,0,False,False,0,False,False
0 days 00:02:52.000000000,26,1,R,C,1.0,2.0,990.0,1471.0,279.0,459.0,174.0,0,False,False,0,False,False
0 days 00:02:52.200000000,26,1,R,C,1.0,2.0,1014.0,1495.0,280.0,460.0,183.0,0,False,False,0,False,False
0 days 00:02:52.400000000,26,1,R,C,1.0,2.0,986.0,1467.0,278.0,430.0,181.0,0,False,False,0,False,False
0 days 00:02:52.600000000,26,1,R,C,1.0,2.0,983.0,1464.0,278.0,445.0,183.0,0,False,False,0,False,False
0 days 00:02:52.800000000,26,1,R,C,1.0,2.0,978.0,1459.0,278.0,424.0,181.0,0,False,False,0,False,False
0 days 00:02:53.000000000,26,1,R,C,1.0,2.0,959.0,1440.0,277.0,428.0,184.0,0,False,False,0,False,False
0 days 00:02:53.200000000,26,1,R,C,1.0,2.0,968.0,1449.0,278.0,441.0,179.0,0,False,False,0,False,False
0 days 00:02:53.400000000,26,1,R,C,1.0,2.0,971.0,1452.0,278.0,425.0,182.0,0,False,False,0,False,False
0 days 00:02:53.600000000,26,1,R,C,1.0,2.0,952.0,1433.0,277.0,405.0,185.0,0,False,False,0,False,False
0 days 00:02:53.800000000,26,1,R,C,1.0,2.0,943.0,1424.0,276.0,418.0,188.0,0,False,False,0,False,False
0 days 00:02:54.000000000,26,1,R,C,1.0,2.0,986.0,1467.0,278.0,459.0,185.0,0,False,False,0,False,False
0 days 00:02:54.200000000,26,1,R,C,1.0,2.0,997.0,1478.0,279.0,447.0,171.0,0,False,False,0,False,False
0 days 00:02:54.400000000,26,1,R,C,1.0,2.0,968.0,1449.0,278.0,428.0,175.0,0,False,False,0,False,False
0 days 00:02:54.600000000,26,1,R,C,1.0,2.0,971.0,1452.0,278.0,438.0,176.0,0,False,False,0,False,False
0 days 00:02:54.800000000,26,1,R,C,1.0,2.0,968.0,1449.0,277.0,438.0,180.0,0,False,False,0,False,False
0 days 00:02:55.000000000,26,1,R,C,1.0,2.0,950.0,1431.0,277.0,409.0,182.0,0,False,False,0,False,False
0 days 00:02:55.200000000,26,1,R,C,1.0,2.0,927.0,1408.0,275.0,405.0,183.0,0,False,False,0,False,False
0 days 00:02:55.400000000,26,1,R,C,1.0,2.0,922.0,1403.0,276.0,406.0,182.0,0,False,False,0,False,False
0 days 00:02:55.600000000,26,1,R,C,1.0,2.0,939.0,1420.0,276.0,427.0,179.0,0,False,False,0,False,False
0 days 00:02:55.800000000,26,1,R,C,1.0,2.0,965.0,1446.0,277.0,444.0,180.0,0,False,False,0,False,False
0 days 00:02:56.000000000,26,1,R,C,1.0,2.0,978.0,1459.0,278.0,433.0,184.0,0,False,False,0,False,False
0 days 00:02:56.200000000,26,1,R,C,1.0,2.0,960.0,1441.0,278.0,414.0,183.0,0,False,False,0,False,False
0 days 00:02:56.400000000,26,1,R,C,1.0,2.0,948.0,1429.0,277.0,420.0,172.0,0,False,False,0,False,False
0 days 00:02:56.600000000,26,1,R,C,1.0,2.0,1008.0,1489.0,280.0,484.0,181.0,0,False,False,0,False,False
0 days 00:02:56.800000000,26,1,R,C,1.0,2.0,1022.0,1503.0,281.0,439.0,188.0,0,False,False,0,False,False
0 days 00:02:57.000000000,26,1,R,C,1.0,2.0,960.0,1441.0,278.0,412.0,185.0,0,False,False,0,False,False
0 days 00:02:57.200000000,26,1,R,C,1.0,2.0,950.0,1431.0,277.0,423.0,179.0,0,False,False,0,False,False
0 days 00:02:57.400000000,26,1,R,C,1.0,2.0,960.0,1441.0,278.0,408.0,180.0,0,False,False,0,False,False
0 days 00:02:57.600000000,26,1,R,C,1.0,2.0,947.0,1428.0,277.0,407.0,185.0,0,False,False,0,False,False
0 days 00:02:57.800000000,26,1,R,C,1.0,2.0,903.0,1384.0,274.0,375.0,176.0,0,False,False,0,False,False
0 days 00:02:58.000000000,26,1,R,C,1.0,2.0,894.0,1375.0,274.0,398.0,179.0,0,False,False,0,False,False
0 days 00:02:58.200000000,26,1,R,C,1.0,2.0,940.0,1421.0,277.0,429.0,178.0,0,False,False,0,False,False
0 days 00:02:58.400000000,26,1,R,C,1.0,2.0,966.0,1447.0,278.0,436.0,185.0,0,False,False,0,False,False
0 days 00:02:58.600000000,26,1,R,C,1.0,2.0,953.0,1434.0,277.0,430.0,181.0,0,False,False,0,False,False
0 days 00:02:58.800000000,26,1,R,C,1.0,2.0,939.0,1420.0,276.0,414.0,179.0,0,False,False,0,False,False
0 days 00:02:59.000000000,26,1,R,C,1.0,2.0,941.0,1422.0,276.0,412.0,181.0,0,False,False,0,False,False
0 days 00:02:59.200000000,26,1,R,C,1.0,2.0,1007.0,1488.0,280.0,506.0,172.0,0,False,False,0,False,False
0 days 00:02:59.400000000,26,1,R,C,1.0,2.0,992.0,1473.0,279.0,405.0,185.0,0,False,False,0,False,False
0 days 00:02:59.600000000,26,1,R,C,1.0,2.0,923.0,1404.0,275.0,401.0,181.0,0,False,False,0,False,False
0 days 00:02:59.800000000,26,1,R,C,1.0,2.0,946.0,1427.0,276.0,430.0,180.0,0,False,False,0,False,False
0 days 00:03:00.000000000,26,1,R,C,1.0,2.0,967.0,1448.0,277.0,431.0,180.0,0,False,False,0,False,False
0 days 00:03:00.200000000,26,1,R,C,1.0,2.0,966.0,1447.0,277.0,428.0,179.0,0,False,False,0,False,False
