package_time,extruder,machine,position,threadline,thread_presence,winder_status,magnitude,raw_magnitude,raw_phase,amplitude,nodes_per_sample,doff_change,start_of_package,end_of_package,thread_presence_change,start_of_line_break,end_of_line_break
0 days 00:02:41.800000000,26,1,R,B,1.0,2.0,807.0,1167.0,-128.0,396.0,181.0,0,False,False,0,False,False
0 days 00:02:42.000000000,26,1,R,B,1.0,2.0,822.0,1182.0,-127.0,408.0,183.0,0,False,False,0,False,False
0 days 00:02:42.200000000,26,1,R,B,1.0,2.0,845.0,1205.0,-125.0,432.0,177.0,0,False,False,0,False,False
0 days 00:02:42.400000000,26,1,R,B,1.0,2.0,877.0,1237.0,-123.0,444.0,184.0,0,False,False,0,False,False
0 days 00:02:42.600000000,26,1,R,B,1.0,2.0,872.0,1232.0,-123.0,416.0,182.0,0,False,False,0,False,False
0 days 00:02:42.800000000,26,1,R,B,1.0,2.0,844.0,1204.0,-125.0,422.0,179.0,0,False,False,0,False,False
0 days 00:02:43.000000000,26,1,R,B,1.0,2.0,791.0,1151.0,-129.0,366.0,180.0,0,False,False,0,False,False
0 days 00:02:43.200000000,26,1,R,B,1.0,2.0,743.0,1103.0,-132.0,366.0,186.0,0,False,False,0,False,False
0 days 00:02:43.400000000,26,1,R,B,1.0,2.0,725.0,1085.0,-134.0,359.0,175.0,0,False,False,0,False,False
0 days 00:02:43.600000000,26,1,R,B,1.0,2.0,755.0,1115.0,-132.0,409.0,173.0,0,False,False,0,False,False
0 days 00:02:43.800000000,26,1,R,B,1.0,2.0,749.0,1109.0,-132.0,341.0,175.0,0,False,False,0,False,False
0 days 00:02:44.000000000,26,1,R,B,1.0,2.0,695.0,1055.0,-136.0,351.0,171.0,0,False,False,0,False,False
0 days 00:02:44.200000000,26,1,R,B,1.0,2.0,724.0,1084.0,-134.0,376.0,174.0,0,False,False,0,False,False
0 days 00:02:44.400000000,26,1,R,B,1.0,2.0,772.0,1132.0,-131.0,394.0,173.0,0,False,False,0,False,False
0 days 00:02:44.600000000,26,1,R,B,1.0,2.0,812.0,1172.0,-128.0,419.0,179.0,0,False,False,0,False,False
0 days 00:02:44.800000000,26,1,R,B,1.0,2.0,860.0,1220.0,-124.0,448.0,173.0,0,False,False,0,False,False
0 days 00:02:45.000000000,26,1,R,B,1.0,2.0,841.0,1201.0,-126.0,406.0,179.0,0,False,False,0,False,False
0 days 00:02:45.200000000,26,1,R,B,1.0,2.0,775.0,1135.0,-130.0,366.0,175.0,0,False,False,0,False,False
0 days 00:02:45.400000000,26,1,R,B,1.0,2.0,730.0,1090.0,-134.0,355.0,171.0,0,False,False,0,False,False
0 days 00:02:45.600000000,26,1,R,B,1.0,2.0,693.0,1053.0,-136.0,341.0,170.0,0,False,False,0,False,False
0 days 00:02:45.800000000,26,1,R,B,1.0,2.0,696.0,1056.0,-135.0,353.0,174.0,0,False,False,0,False,False
0 days 00:02:46.000000000,26,1,R,B,1.0,2.0,722.0,1082.0,-134.0,342.0,186.0,0,False,False,0,False,False
0 days 00:02:46.200000000,26,1,R,B,1.0,2.0,760.0,1120.0,-131.0,414.0,177.0,0,False,False,0,False,False
0 days 00:02:46.400000000,26,1,R,B,1.0,2.0,735.0,1095.0,-133.0,341.0,181.0,0,False,False,0,False,False
0 days 00:02:46.600000000,26,1,R,B,1.0,2.0,692.0,1052.0,-136.0,332.0,182.0,0,False,False,0,False,False
0 days 00:02:46.800000000,26,1,R,B,1.0,2.0,728.0,1088.0,-134.0,376.0,175.0,0,False,False,0,False,False
0 days 00:02:47.000000000,26,1,R,B,1.0,2.0,778.0,1138.0,-130.0,408.0,182.0,0,False,False,0,False,False
0 days 00:02:47.200000000,26,1,R,B,1.0,2.0,836.0,1196.0,-127.0,453.0,176.0,0,False,False,0,False,False
0 days 00:02:47.400000000,26,1,R,B,1.0,2.0,883.0,1243.0,-124.0,459.0,181.0,0,False,False,0,False,False
0 days 00:02:47.600000000,26,1,R,B,1.0,2.0,886.0,1246.0,-123.0,449.0,185.0,0,False,False,0,False,False
0 days 00:02:47.800000000,26,1,R,B,1.0,2.0,842.0,1202.0,-126.0,404.0,187.0,0,False,False,0,False,False
0 days 00:02:48.000000000,26,1,R,B,1.0,2.0,782.0,1142.0,-130.0,373.0,171.0,0,False,False,0,False,False
0 days 00:02:48.200000000,26,1,R,B,1.0,2.0,745.0,1105.0,-132.0,351.0,186.0,0,False,False,0,False,False
0 days 00:02:48.400000000,26,1,R,B,1.0,2.0,723.0,1083.0,-134.0,356.0,181.0,0,False,False,0,False,False
0 days 00:02:48.600000000,26,1,R,B,1.0,2.0,752.0,1112.0,-132.0,401.0,172.0,0,False,False,0,False,False
0 days 00:02:48.800000000,26,1,R,B,1.0,2.0,759.0,1119.0,-132.0,358.0,180.0,0,False,False,0,False,False
